koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
"FALSE POSITIVE",19.221388942,1.123e-06,-1.123e-06,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74284,21.9,-21.9,49.29,16.03,-5,55.97,54.55,-16.40,2317.00,2,6117.00,182.00,-200.00,4.496,0.052,-0.208,-0.2200,0.2500,-0.3500,0.9470,0.3080,-0.0960,1.0250,0.1390,-0.1390
"FALSE POSITIVE",16.46983774,1.361e-05,-1.361e-05,0.292,0.118,-0.101,9.4378,0.06,-0.06,10478.9,39.9,-39.9,7.94,0.89,-0.89,29.61,12.01,-8.91,303.40,1,5152.00,168.00,-153.00,4.517,0.088,-0.072,-0.2000,0.3000,-0.3000,0.7860,0.0880,-0.0880,0.7410,0.1060,-0.0570
"CONFIRMED",9.27358173,1.037e-05,-1.037e-05,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,2.47,0.2,-0.24,41.85,12.49,-11.70,87.20,1,4856.00,131.00,-146.00,4.583,0.065,-0.035,-0.3000,0.3000,-0.3000,0.6960,0.0560,-0.0680,0.6760,0.0880,-0.0470
"CONFIRMED",6.02930329,5.509e-06,-5.509e-06,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,2.85,0.26,-0.15,50.04,16.40,-9.88,65.40,1,4537.00,123.00,-123.00,4.648,0.020,-0.056,0.2100,0.2000,-0.3000,0.6720,0.0620,-0.0360,0.7610,0.0330,-0.0670
"FALSE POSITIVE",2.696370652,7.534e-06,-7.534e-06,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,1.58,0.13,-0.16,305.34,96.64,-86.33,48.20,1,4989.00,149.00,-149.00,4.504,0.090,-0.060,0.1000,0.2500,-0.3000,0.8190,0.0670,-0.0820,0.7810,0.0780,-0.0560
"CONFIRMED",5.349553819,8.834e-06,-8.834e-06,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,831,14.8,-14.8,2.55,0.16,-0.24,168.99,34.66,-38.48,60.60,3,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
"CONFIRMED",3.94105221,1.094e-05,-1.094e-05,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,363.3,13.9,-13.9,1.7,0.11,-0.16,253.15,51.91,-57.65,28.90,3,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
"CONFIRMED",8.10904807,6.787e-05,-6.787e-05,0.025,0.425,-0.025,3.596,0.198,-0.198,217.4,16.8,-16.8,1.3,0.09,-0.12,97.03,19.90,-22.09,14.10,3,5185.00,85.00,-77.00,4.440,0.098,-0.045,0.1600,0.1500,-0.1500,0.9100,0.0570,-0.0860,0.8310,0.0580,-0.0320
"FALSE POSITIVE",386.6030528,0.0001369,-0.0001369,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,24926.6,45.8,-45.8,41.5,1.68,-1.68,1.84,0.26,-0.24,994.00,1,5543.00,79.00,-79.00,4.081,0.014,-0.014,0.4400,0.1010,-0.1010,1.5800,0.0640,-0.0640,1.1030,0.0970,-0.0970
"CONFIRMED",21.67699193,7.01e-05,-7.01e-05,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,857.2,27.1,-27.1,2.95,0.12,-0.23,18.64,2.78,-3.80,34.30,4,4954.00,79.00,-79.00,4.500,0.075,-0.020,0.1800,0.1500,-0.1500,0.8280,0.0320,-0.0650,0.7910,0.0500,-0.0290
"CONFIRMED",4.99677968,1.389e-05,-1.389e-05,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,2.78,0.52,-0.23,166.95,102.06,-42.14,28.20,1,5339.00,175.00,-159.00,4.552,0.034,-0.136,0.1800,0.2000,-0.3000,0.8470,0.1610,-0.0690,0.9310,0.0630,-0.0940
"CONFIRMED",4.280963604,6.141e-06,-6.141e-06,0.424,0.112,-0.356,2.875,0.042,-0.042,750.8,14.1,-14.1,2.3,0.58,-0.19,247.87,182.24,-63.32,61.80,1,5644.00,152.00,-169.00,4.564,0.032,-0.168,-0.1400,0.3000,-0.3000,0.8310,0.2070,-0.0690,0.9280,0.0940,-0.1150
"FALSE POSITIVE",1.50635409,4.7e-07,-4.7e-07,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,4.53,1.01,-0.44,1054.12,703.10,-292.26,181.10,1,5714.00,155.00,-172.00,4.563,0.040,-0.160,-0.2000,0.3000,-0.3000,0.8310,0.1860,-0.0800,0.9260,0.0900,-0.1100
"FALSE POSITIVE",670.645531,0.001237,-0.001237,0.701,0.004,-0.005,53.412,0.131,-0.131,18090.6,33.5,-33.5,14.14,2.13,-0.71,0.35,0.15,-0.06,642.70,1,5520.00,100.00,-111.00,4.466,0.032,-0.120,0.4800,0.0500,-0.1500,0.9830,0.1480,-0.0490,1.0300,0.0420,-0.0580
"FALSE POSITIVE",61.2563628,0.000156,-0.000156,1.248,6.912,-0.067,7.633,0.105,-0.105,5123.3,70.6,-70.6,39.87,12.79,-5.48,15.43,14.85,-5.51,85.30,1,6144.00,184.00,-220.00,4.402,0.072,-0.217,0.0000,0.2500,-0.3000,1.0910,0.3500,-0.1500,1.0930,0.1660,-0.1350
"CONFIRMED",38.3775486,0.0001602,-0.0001602,0.468,0.461,-0.267,5.588,0.113,-0.113,724.2,23.4,-23.4,2.82,0.37,-0.34,18.53,6.72,-4.93,34.70,1,5481.00,82.00,-74.00,4.369,0.121,-0.099,0.1600,0.1500,-0.1500,1.0360,0.1380,-0.1240,0.9150,0.0610,-0.0420
"CONFIRMED",41.19725502,9.345e-05,-9.345e-05,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2213.9,45.5,-45.5,3.86,0.15,-0.33,8.76,1.27,-1.90,51.20,3,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
"CONFIRMED",6.252962249,9.577e-06,-9.577e-06,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,2.65,0.1,-0.23,108.30,15.73,-23.44,47.10,3,5031.00,75.00,-83.00,4.485,0.083,-0.028,0.1600,0.1500,-0.1500,0.8480,0.0330,-0.0720,0.8010,0.0520,-0.0300
"CONFIRMED",16.01308419,4.854e-05,-4.854e-05,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1121.9,39.4,-39.4,3.1,0.34,-0.31,29.31,11.77,-8.24,33.20,1,5015.00,164.00,-149.00,4.499,0.092,-0.115,0.1000,0.2500,-0.2500,0.8260,0.0910,-0.0820,0.7850,0.0850,-0.0560
"CONFIRMED",32.62876672,5.801e-05,-5.801e-05,0.021,0.402,-0.021,4.7971,0.058,-0.058,1804.8,25.4,-25.4,3.36,0.76,-0.33,15.55,10.51,-4.18,80.00,2,5586.00,152.00,-152.00,4.560,0.050,-0.150,-0.3000,0.3000,-0.3000,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
"CONFIRMED",91.7732862,0.0007518,-0.0007518,0.606,0.335,-0.4,6.473,0.204,-0.204,652,36.2,-36.2,2.12,0.48,-0.21,3.92,2.64,-1.06,19.10,2,5586.00,152.00,-152.00,4.560,0.050,-0.150,-0.3000,0.3000,-0.3000,0.7980,0.1810,-0.0770,0.8440,0.0970,-0.0780
"CONFIRMED",4.959319244,5.15e-07,-5.15e-07,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802,20,-20,12.21,1.96,-1.46,349.40,146.52,-93.21,696.50,1,5712.00,77.00,-77.00,4.359,0.110,-0.110,0.1000,0.1500,-0.1500,1.0820,0.1730,-0.1300,0.9760,0.0730,-0.0550
"FALSE POSITIVE",2.701287801,5.634e-06,-5.634e-06,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,6.54,1.64,-0.75,527.81,411.33,-166.35,48.30,1,5550.00,182.00,-182.00,4.468,0.091,-0.169,-0.0400,0.3000,-0.3000,0.9100,0.2280,-0.1050,0.8890,0.1020,-0.0830
"CONFIRMED",4.49876511,1.777e-05,-1.777e-05,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,460,17.5,-17.5,2.1,0.65,-0.22,389.62,365.71,-117.40,29.50,1,6075.00,189.00,-210.00,4.486,0.052,-0.208,-0.1200,0.2500,-0.3500,0.9690,0.3000,-0.1000,1.0480,0.1390,-0.1390
"FALSE POSITIVE",19.651209505,5.862e-06,-5.862e-06,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766.3,27.7,-27.7,12.42,3.92,-1.69,67.03,62.46,-23.51,513.40,1,6074.00,168.00,-210.00,4.391,0.090,-0.210,-0.1200,0.3000,-0.3000,1.0630,0.3360,-0.1440,1.0140,0.1530,-0.1260
"CONFIRMED",5.412203927,3.052e-06,-3.052e-06,0.787,0.005,-0.565,2.9472,0.024,-0.024,601.6,4,-4,2.94,0.43,-0.38,337.68,137.29,-102.18,166.70,3,5779.00,104.00,-115.00,4.339,0.132,-0.108,-0.0600,0.1500,-0.1500,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
"CONFIRMED",41.43958662,7.557e-05,-7.557e-05,0.355,0.04,-0.355,10.5989,0.088,-0.088,2793.1,22.6,-22.6,5.5,1.57,-0.96,16.72,14.66,-6.64,141.10,1,5468.00,180.00,-164.00,4.367,0.153,-0.187,0.2200,0.2000,-0.3000,1.0460,0.2970,-0.1830,0.9300,0.0920,-0.0740
"CONFIRMED",8.35389523,1.524e-05,-1.524e-05,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,2.52,0.54,-0.24,91.90,59.06,-24.15,43.40,1,5592.00,152.00,-152.00,4.582,0.036,-0.144,-0.2800,0.3000,-0.3000,0.7870,0.1690,-0.0730,0.8620,0.0890,-0.0970
"CONFIRMED",4.125543472,3.133e-06,-3.133e-06,0.597,0.235,-0.367,3.1744,0.0362,-0.0362,1487.3,13.3,-13.3,4.43,1.44,-0.51,565.35,542.47,-188.14,128.60,1,6174.00,173.00,-239.00,4.417,0.056,-0.210,0.1000,0.2000,-0.3000,1.1030,0.3580,-0.1280,1.1620,0.1580,-0.1580
"CONFIRMED",2.816504904,1.65e-07,-1.65e-07,0.105,0.264,-0.119,2.50587,0.00666,-0.00666,16813.7,11,-11,12.21,1.62,-0.87,521.13,184.34,-97.95,1406.80,1,5532.00,74.00,-83.00,4.452,0.063,-0.108,0.1400,0.1500,-0.1500,0.9550,0.1270,-0.0680,0.9410,0.0530,-0.0470
"FALSE POSITIVE",33.93373447,6.154e-05,-6.154e-05,0.812,0.006,-0.009,14.561,0.104,-0.104,8503.7,44.3,-44.3,7.34,0.9,-0.6,8.11,3.25,-2.06,236.10,1,5040.00,136.00,-151.00,4.628,0.030,-0.070,-0.2400,0.3000,-0.3000,0.7050,0.0860,-0.0580,0.7820,0.0630,-0.0870
"CONFIRMED",3.689920099,8.982e-06,-8.982e-06,0.151,0.304,-0.151,2.6557,0.0677,-0.0677,426.7,13.8,-13.8,1.89,0.54,-0.2,408.99,342.24,-123.32,35.60,1,5880.00,157.00,-192.00,4.518,0.046,-0.196,-0.0600,0.3000,-0.3000,0.9170,0.2620,-0.0980,1.0100,0.1160,-0.1390
"CONFIRMED",4.431238488,6.106e-06,-6.106e-06,0.405,0.041,-0.405,3.15,0.0423,-0.0423,1010.9,15.2,-15.2,3.25,0.47,-0.25,351.23,135.26,-68.33,71.10,3,5714.00,77.00,-77.00,4.428,0.063,-0.117,0.1600,0.1500,-0.1500,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620
"CONFIRMED",11.37936986,2.415e-05,-2.415e-05,0.911,0.009,-0.656,2.6255,0.073,-0.073,1023.5,29.7,-29.7,3.95,0.57,-0.31,99.68,38.38,-19.39,37.90,3,5714.00,77.00,-77.00,4.428,0.063,-0.117,0.1600,0.1500,-0.1500,1.0150,0.1480,-0.0790,1.0070,0.0560,-0.0620
"CONFIRMED",26.39432897,5.724e-05,-5.724e-05,0.602,0.25,-0.396,3.573,0.0643,-0.0643,1510.9,36.3,-36.3,3.07,0.41,-0.22,13.49,6.07,-3.21,48.20,1,5129.00,154.00,-154.00,4.595,0.030,-0.084,0.0200,0.2500,-0.3000,0.7630,0.1030,-0.0550,0.8460,0.0640,-0.0880
"CONFIRMED",13.57078281,1.585e-05,-1.585e-05,0.866,0.015,-0.621,3.3539,0.0489,-0.0489,511.7,6.3,-6.3,2.64,0.4,-0.27,89.61,38.12,-22.92,88.40,4,5854.00,105.00,-117.00,4.406,0.090,-0.110,-0.1200,0.1500,-0.1500,1.0120,0.1540,-0.1030,0.9510,0.0700,-0.0630
"CONFIRMED",7.12594387,1.406e-05,-1.406e-05,0.898,0.013,-0.699,3.0014,0.0384,-0.0384,192.4,4.4,-4.4,1.79,0.26,-0.23,233.31,94.86,-70.60,47.10,3,5779.00,104.00,-115.00,4.339,0.132,-0.108,-0.0600,0.1500,-0.1500,1.0870,0.1570,-0.1420,0.9410,0.0740,-0.0540
"FALSE POSITIVE",7.442652004,7.02e-07,-7.02e-07,0.137,0.346,-0.224,2.3078,0.0129,-0.0129,24446.2,37.8,-37.8,15.03,4.73,-1.58,206.78,195.52,-61.76,835.60,1,6108.00,183.00,-201.00,4.469,0.070,-0.210,-0.3000,0.3000,-0.3000,0.9560,0.3010,-0.1000,0.9810,0.1280,-0.1280
"CONFIRMED",16.38489988,5.219e-05,-5.219e-05,0.001,0.437,-0.001,3.0249,0.0798,-0.0798,1127.1,42,-42,2,0.09,-0.1,8.35,1.49,-1.35,28.90,3,4126.00,82.00,-82.00,4.661,0.022,-0.022,0.0400,0.1500,-0.1500,0.6150,0.0270,-0.0290,0.6330,0.0290,-0.0350
