koi_disposition,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_count,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
"CONFIRMED",16.51410989,3.387e-05,-3.387e-05,0.395,0.008,-0.395,4.1575,0.0539,-0.0539,973.5,18.5,-18.5,2.72,0.27,-0.24,43.57,13.80,-9.97,55.90,4,5527.00,111.00,-111.00,4.488,0.075,-0.075,-0.1800,0.1500,-0.1500,0.8660,0.0890,-0.0740,0.8410,0.0600,-0.0430
"CONFIRMED",30.1329298,0.0001013,-0.0001013,0.839,0,-0.594,5.172,0.113,-0.113,1015.8,24,-24,3.14,0.32,-0.27,19.55,6.19,-4.47,44.80,4,5527.00,111.00,-111.00,4.488,0.075,-0.075,-0.1800,0.1500,-0.1500,0.8660,0.0890,-0.0740,0.8410,0.0600,-0.0430
"CONFIRMED",4.79090809,2.282e-05,-2.282e-05,0.11,0.342,-0.11,2.603,0.11,-0.11,251.3,13.2,-13.2,1.36,0.14,-0.12,227.24,71.98,-51.99,21.20,4,5527.00,111.00,-111.00,4.488,0.075,-0.075,-0.1800,0.1500,-0.1500,0.8660,0.0890,-0.0740,0.8410,0.0600,-0.0430
"CONFIRMED",31.71981013,6.31e-05,-6.31e-05,0.125,0.285,-0.125,4.819,0.0498,-0.0498,363.4,6.1,-6.1,3.09,0.49,-0.78,71.97,32.15,-35.02,63.10,2,5869.00,117.00,-117.00,4.024,0.210,-0.105,-0.1600,0.1500,-0.1500,1.6260,0.2540,-0.4130,1.0190,0.0980,-0.0980
"CONFIRMED",99.6415962,0.0006637,-0.0006637,0.028,0.418,-0.028,4.448,0.14,-0.14,952.5,44.1,-44.1,2.64,0.27,-0.23,3.97,1.25,-0.91,22.70,4,5527.00,111.00,-111.00,4.488,0.075,-0.075,-0.1800,0.1500,-0.1500,0.8660,0.0890,-0.0740,0.8410,0.0600,-0.0430
"CONFIRMED",4.708326451,7.3e-07,-7.3e-07,0.061,0.063,-0.061,3.16114,0.00526,-0.00526,7912.7,14.4,-14.4,10.6,2.85,-2.56,431.02,349.26,-211.73,633.40,1,5560.00,166.00,-166.00,4.246,0.252,-0.189,0.1400,0.2500,-0.2500,1.2100,0.3250,-0.2930,0.9400,0.1130,-0.0850
"FALSE POSITIVE",16.37198661,2.818e-05,-2.818e-05,9.303,65.75,-6.594,3.8449,0.0654,-0.0654,4147.6,84,-84,540.37,39.25,-58.42,8.71,2.56,-2.57,54.50,1,4187.00,125.00,-125.00,4.656,0.056,-0.024,-0.2800,0.3000,-0.3000,0.5920,0.0430,-0.0640,0.5800,0.0640,-0.0520
"CONFIRMED",5.392026903,6.664e-06,-6.664e-06,0.314,0.072,-0.314,2.9804,0.0352,-0.0352,1151.4,17.2,-17.2,2.68,0.36,-0.19,123.33,54.53,-29.06,77.40,1,5198.00,155.00,-155.00,4.589,0.024,-0.102,0.2100,0.2000,-0.3500,0.8010,0.1060,-0.0570,0.9150,0.0440,-0.1020
"CANDIDATE",2.494170338,1.264e-06,-1.264e-06,0.095,0.239,-0.095,1.1221,0.0175,-0.0175,863.7,13.9,-13.9,2.42,0.24,-0.12,480.19,142.04,-79.60,69.20,1,5569.00,99.00,-110.00,4.566,0.020,-0.080,-0.0800,0.1500,-0.1500,0.8290,0.0820,-0.0410,0.9280,0.0390,-0.0780
"CONFIRMED",6.491682808,1.685e-06,-1.685e-06,0.535,0.034,-0.053,4.301,0.0272,-0.0272,7163.3,17.2,-17.2,9.66,3.27,-1.31,301.54,310.33,-112.73,502.30,2,6123.00,193.00,-265.00,4.413,0.072,-0.217,0.1400,0.2000,-0.3000,1.1070,0.3750,-0.1500,1.1590,0.1640,-0.1640
"FALSE POSITIVE",3.044770796,4.462e-06,-4.462e-06,1.252,0.369,-0.108,10.0134,0.0663,-0.0663,1695,10.1,-10.1,24.54,4.89,-1.96,317.36,196.04,-79.26,203.50,1,5525.00,165.00,-165.00,4.603,0.032,-0.120,-0.3600,0.3000,-0.3000,0.7530,0.1500,-0.0600,0.8430,0.0790,-0.0970
"CONFIRMED",3.855603916,3.68e-07,-3.68e-07,0.348,0.027,-0.039,3.2179,0.0101,-0.0101,16652.7,18.2,-18.2,13.61,3.8,-1.35,508.65,435.35,-163.96,1173.90,1,6033.00,193.00,-265.00,4.460,0.048,-0.192,0.2100,0.2000,-0.2500,1.0460,0.2920,-0.1040,1.1530,0.1250,-0.1520
"FALSE POSITIVE",3.855599139,4.003e-06,-4.003e-06,0.864,0.014,-0.599,3.183,0.0616,-0.0616,1030.9,13.2,-13.2,3.57,1,-0.33,425.74,349.36,-120.92,90.10,1,5936.00,164.00,-205.00,4.501,0.046,-0.196,0.0700,0.2500,-0.3000,0.9650,0.2680,-0.0890,1.0750,0.1150,-0.1400
"CONFIRMED",38.47876629,4.731e-06,-4.731e-06,0.003,0.034,-0.003,5.04169,0.00343,-0.00343,23530,25.4,-25.4,13.26,1.78,-0.59,13.01,4.96,-2.04,1077.80,1,5510.00,98.00,-109.00,4.539,0.019,-0.110,0.1600,0.1500,-0.1500,0.8790,0.1180,-0.0390,0.9730,0.0410,-0.0700
"FALSE POSITIVE",37.601661282,5.79e-06,-5.79e-06,0.408,0.004,-0.005,8.30604,0.00855,-0.00855,59130.1,43.7,-43.7,27.22,8.22,-4.42,31.86,28.15,-12.30,1667.30,1,6140.00,164.00,-201.00,4.354,0.124,-0.201,-0.2400,0.2500,-0.3000,1.0960,0.3310,-0.1780,0.9890,0.1520,-0.1100
"CONFIRMED",3.314947362,1.705e-06,-1.705e-06,0.799,0.058,-0.54,1.8007,0.0284,-0.0284,1398.2,13.6,-13.6,3.94,1.11,-0.37,421.03,347.73,-114.75,123.50,1,5609.00,150.00,-166.00,4.481,0.062,-0.188,0.1600,0.2000,-0.3000,0.9440,0.2660,-0.0890,0.9830,0.0940,-0.1050
"FALSE POSITIVE",6.71969089,1.394e-05,-1.394e-05,0.985,22.45,-0.029,3.0231,0.0879,-0.0879,969.7,26.2,-26.2,4.37,1.06,-0.57,194.18,143.01,-64.13,45.40,1,5931.00,177.00,-177.00,4.479,0.094,-0.175,-0.6000,0.3000,-0.3000,0.8660,0.2100,-0.1130,0.8250,0.0960,-0.0700
"CONFIRMED",39.6431552,1.041e-05,-1.041e-05,0.062,0.103,-0.042,6.5292,0.00694,-0.00694,15663.8,24.4,-24.4,10.98,0.72,-0.99,11.74,2.46,-2.55,690.30,2,5231.00,83.00,-73.00,4.455,0.091,-0.049,0.1400,0.1500,-0.1500,0.9000,0.0590,-0.0810,0.8440,0.0600,-0.0330
"FALSE POSITIVE",51.42598578,1.279e-05,-1.279e-05,0.203,0.008,-0.011,16.9422,0.0148,-0.0148,66067.7,43.1,-43.1,29.66,9.26,-3.31,21.40,19.69,-6.95,1843.80,1,6257.00,173.00,-239.00,4.410,0.054,-0.216,0.2100,0.2000,-0.3500,1.1470,0.3580,-0.1280,1.2330,0.1530,-0.1870
"CONFIRMED",21.80451611,4.733e-05,-4.733e-05,0.751,0.166,-0.5,3.4097,0.0714,-0.0714,1144.9,26.4,-26.4,2.6,0.47,-0.19,20.48,11.55,-4.65,49.90,1,5481.00,163.00,-146.00,4.629,0.028,-0.112,-0.5000,0.3000,-0.3000,0.7080,0.1270,-0.0510,0.8060,0.0730,-0.0900
"CONFIRMED",10.28194593,1.884e-05,-1.884e-05,0.168,0.267,-0.168,3.4366,0.0541,-0.0541,1110.7,21.3,-21.3,2.53,0.36,-0.19,50.60,23.78,-12.02,55.00,3,5196.00,155.00,-155.00,4.593,0.026,-0.097,0.0400,0.2500,-0.3000,0.7750,0.1110,-0.0560,0.8690,0.0640,-0.0920
"CONFIRMED",18.11993039,3.701e-05,-3.701e-05,0.206,0.192,-0.206,4.2309,0.0581,-0.0581,1506.9,25.8,-25.8,2.95,0.42,-0.22,23.77,11.17,-5.65,60.70,3,5196.00,155.00,-155.00,4.593,0.026,-0.097,0.0400,0.2500,-0.3000,0.7750,0.1110,-0.0560,0.8690,0.0640,-0.0920
"CONFIRMED",3.78402867,1.076e-05,-1.076e-05,0.691,0.216,-0.466,1.9012,0.0678,-0.0678,426.1,18.4,-18.4,1.7,0.25,-0.12,191.78,90.15,-45.54,25.60,3,5196.00,155.00,-155.00,4.593,0.026,-0.097,0.0400,0.2500,-0.3000,0.7750,0.1110,-0.0560,0.8690,0.0640,-0.0920
"CONFIRMED",5.15448142,1.026e-05,-1.026e-05,0.933,0.038,-0.686,3.228,0.122,-0.122,697.5,16.4,-16.4,2.94,0.63,-0.39,204.10,134.51,-67.88,48.10,1,5431.00,161.00,-161.00,4.457,0.104,-0.156,-0.1400,0.3000,-0.3000,0.8840,0.1900,-0.1170,0.8160,0.1180,-0.0630
"FALSE POSITIVE",33.80364366,2.278e-05,-2.278e-05,0.023,0.088,-0.023,11.4813,0.0187,-0.0187,13494.4,26.6,-26.6,20.7,3.24,-4.86,72.71,32.55,-33.45,529.90,2,5855.00,117.00,-117.00,3.999,0.196,-0.084,0.1600,0.1500,-0.1500,1.7960,0.2810,-0.4220,1.1740,0.1330,-0.1330
"CONFIRMED",5.743469797,7.276e-06,-7.276e-06,0.001,0.372,-0.001,3.4412,0.0357,-0.0357,1240.2,17.8,-17.8,3.13,0.97,-0.31,219.95,200.46,-61.41,79.70,1,5897.00,159.00,-177.00,4.531,0.037,-0.213,-0.1600,0.3000,-0.3000,0.8910,0.2770,-0.0870,0.9830,0.1200,-0.1200
"CANDIDATE",39.4759093,0.0001317,-0.0001317,0.938,0.011,-0.647,2.968,0.146,-0.146,1012.6,42.8,-42.8,4.06,1.31,-0.44,26.13,24.80,-8.31,26.60,1,6225.00,172.00,-237.00,4.450,0.054,-0.216,-0.1200,0.2500,-0.3000,1.0310,0.3320,-0.1110,1.0910,0.1550,-0.1550
"FALSE POSITIVE",19.974485239,1.75e-06,-1.75e-06,0.886,0.007,-0.008,4.23479,0.00624,-0.00624,40293.1,44.3,-44.3,26.56,8.31,-2.77,56.84,52.57,-17.31,1398.80,1,6108.00,171.00,-214.00,4.471,0.052,-0.221,-0.0800,0.2500,-0.3000,0.9970,0.3120,-0.1040,1.0720,0.1370,-0.1500
"CONFIRMED",3.166353562,2.532e-06,-2.532e-06,0.032,0.321,-0.032,3.3129,0.0233,-0.0233,1473.4,13.4,-13.4,3.82,1.22,-0.41,621.92,586.40,-191.31,128.30,1,6007.00,169.00,-211.00,4.470,0.052,-0.208,0.0200,0.2500,-0.3000,0.9980,0.3180,-0.1060,1.0720,0.1300,-0.1450
"FALSE POSITIVE",23.899634407,4.791e-06,-4.791e-06,1.245,0.104,-0.088,3.81881,0.00835,-0.00835,20953.1,43.8,-43.8,44.04,13.88,-4.62,42.80,39.62,-13.23,547.80,1,6192.00,169.00,-225.00,4.503,0.052,-0.208,-0.3800,0.3000,-0.3000,0.9240,0.2910,-0.0970,0.9910,0.1230,-0.1360
"CONFIRMED",3.388012244,9.49e-06,-9.49e-06,0.433,0.008,-0.433,2.6849,0.0719,-0.0719,280.1,9.9,-9.9,2.11,0.33,-0.41,705.93,316.56,-277.05,30.60,4,5553.00,111.00,,4.221,0.188,-0.101,0.1600,0.1500,-0.1500,1.2500,0.1960,-0.2400,0.9490,0.0800,-0.0460
"CONFIRMED",5.83909761,2.022e-05,-2.022e-05,0.341,0.096,-0.341,3.1915,0.0899,-0.0899,273.6,11.6,-11.6,2.06,0.33,-0.39,341.48,153.14,-134.02,25.20,4,5553.00,111.00,0.00,4.221,0.188,-0.101,0.1600,0.1500,-0.1500,1.2500,0.1960,-0.2400,0.9490,0.0800,-0.0460
"CONFIRMED",1.620467654,5.924e-06,-5.924e-06,0.271,0.189,-0.271,2.1888,0.0995,-0.0995,159.6,8.3,-8.3,1.57,0.24,-0.3,1893.42,849.07,-743.10,22.70,4,5553.00,111.00,0.00,4.221,0.188,-0.101,0.1600,0.1500,-0.1500,1.2500,0.1960,-0.2400,0.9490,0.0800,-0.0460
"CONFIRMED",10.6816951,5.174e-05,-5.174e-05,0.646,0.274,-0.425,3.605,0.11,-0.11,307.8,14.6,-14.6,2.3,0.36,-0.44,152.75,68.50,-59.95,21.90,4,5553.00,111.00,0.00,4.221,0.188,-0.101,0.1600,0.1500,-0.1500,1.2500,0.1960,-0.2400,0.9490,0.0800,-0.0460
"CONFIRMED",6.104849417,2.711e-06,-2.711e-06,0.041,0.205,-0.041,4.6912,0.0143,-0.0143,2090.3,8.1,-8.1,3.18,0.17,-0.19,89.25,17.97,-16.37,293.70,1,5085.00,102.00,-102.00,4.584,0.048,-0.032,-0.3600,0.1500,-0.1500,0.7120,0.0380,-0.0420,0.7100,0.0480,-0.0310
"CONFIRMED",3.578780566,1.83e-07,-1.83e-07,0.079,0.045,-0.054,2.91089,0.00147,-0.00147,11382.2,7.2,-7.2,10.43,0.62,-0.62,406.60,87.15,-74.65,1838.40,1,5524.00,110.00,-110.00,4.421,0.050,-0.045,0.2000,0.1500,-0.1500,0.9940,0.0590,-0.0590,0.9500,0.0580,-0.0580
"FALSE POSITIVE",3.187067566,8.799e-06,-8.799e-06,1.234,16.22,-0.216,3.119,0.124,-0.124,1037.4,34.5,-34.5,23.88,5.1,-2.35,319.76,222.81,-92.63,37.20,1,5450.00,197.00,-180.00,4.552,0.045,-0.135,-0.1400,0.3000,-0.3000,0.8110,0.1730,-0.0800,0.8570,0.0910,-0.0910
"CONFIRMED",5.826657508,6.434e-06,-6.434e-06,0.033,0.335,-0.033,2.9183,0.0321,-0.0321,1539.1,20.9,-20.9,4.09,0.6,-0.49,248.57,96.56,-67.24,81.10,3,5561.00,75.00,-83.00,4.362,0.126,-0.103,0.1600,0.1500,-0.1500,1.0600,0.1560,-0.1270,0.9430,0.0620,-0.0480
"CONFIRMED",12.41216347,5.712e-05,-5.712e-05,0.021,0.438,-0.021,3.739,0.111,-0.111,611.3,26,-26,2.58,0.38,-0.31,90.65,35.21,-24.52,25.60,3,5561.00,75.00,-83.00,4.362,0.126,-0.103,0.1600,0.1500,-0.1500,1.0600,0.1560,-0.1270,0.9430,0.0620,-0.0480
"CONFIRMED",18.74649011,8.763e-05,-8.763e-05,0.508,0.011,-0.478,3.895,0.127,-0.127,796.8,32.8,-32.8,3.05,0.45,-0.37,52.38,20.34,-14.17,26.70,3,5561.00,75.00,-83.00,4.362,0.126,-0.103,0.1600,0.1500,-0.1500,1.0600,0.1560,-0.1270,0.9430,0.0620,-0.0480
"CONFIRMED",20.86021229,2.386e-05,-2.386e-05,0.066,0.253,-0.065,5.1937,0.0335,-0.0335,1910.5,17.5,-17.5,5.5,0.82,-1.09,87.76,37.54,-35.79,117.00,4,6035.00,120.00,-120.00,4.220,0.168,-0.112,-0.2800,0.1500,-0.1500,1.2570,0.1870,-0.2500,0.9580,0.0760,-0.0680
"CONFIRMED",42.63427848,7.674e-05,-7.674e-05,0.142,0.189,-0.142,6.1998,0.0535,-0.0535,1719.3,22.8,-22.8,5.22,0.78,-1.03,33.82,14.47,-13.79,78.70,4,6035.00,120.00,-120.00,4.220,0.168,-0.112,-0.2800,0.1500,-0.1500,1.2570,0.1870,-0.2500,0.9580,0.0760,-0.0680
"CONFIRMED",87.6476068,0.0004197,-0.0004197,0.147,0.276,-0.147,8.871,0.128,-0.128,1009.6,27.4,-27.4,4,0.6,-0.79,12.94,5.54,-5.27,37.50,4,6035.00,120.00,-120.00,4.220,0.168,-0.112,-0.2800,0.1500,-0.1500,1.2570,0.1870,-0.2500,0.9580,0.0760,-0.0680
"CANDIDATE",9.61731426,3.35e-05,-3.35e-05,0.331,0.081,-0.331,3.8692,0.0772,-0.0772,234,13.6,-13.6,1.94,0.29,-0.38,246.13,105.29,-100.36,18.20,4,6035.00,120.00,-120.00,4.220,0.168,-0.112,-0.2800,0.1500,-0.1500,1.2570,0.1870,-0.2500,0.9580,0.0760,-0.0680
"CONFIRMED",9.467821474,6.129e-06,-6.129e-06,0.081,0.261,-0.081,2.4327,0.0221,-0.0221,2237,19.8,-19.8,2.13,0.19,-0.25,6.47,1.81,-1.94,124.70,2,3582.00,71.00,-89.00,4.807,0.050,-0.045,0.1800,0.1500,-0.1500,0.4580,0.0400,-0.0550,0.4910,0.0340,-0.0630
"CONFIRMED",0.893040969,4.61e-07,-4.61e-07,0.009,0.398,-0.009,1.0981,0.0159,-0.0159,741.7,10.2,-10.2,1.24,0.1,-0.15,151.14,42.14,-45.33,87.80,2,3582.00,71.00,-89.00,4.807,0.050,-0.045,0.1800,0.1500,-0.1500,0.4580,0.0400,-0.0550,0.4910,0.0340,-0.0630
"CONFIRMED",4.942783419,2.47e-07,-2.47e-07,0.566,0.009,-0.009,3.25346,0.00605,-0.00605,11144.7,6.7,-6.7,10.62,1.44,-0.73,244.42,94.02,-48.62,2040.70,1,5514.00,98.00,-109.00,4.459,0.051,-0.110,0.3600,0.1000,-0.1500,0.9780,0.1330,-0.0670,1.0030,0.0460,-0.0610
"CONFIRMED",20.83426731,5.358e-05,-5.358e-05,0.256,0.166,-0.256,4.0454,0.0694,-0.0694,988.4,25,-25,2.74,0.69,-0.22,29.62,22.56,-7.35,45.10,1,5537.00,166.00,-166.00,4.549,0.030,-0.170,0.2100,0.2000,-0.3000,0.8800,0.2210,-0.0690,0.9990,0.0670,-0.1170
"CONFIRMED",9.94602357,2.07e-05,-2.07e-05,0.035,0.4,-0.035,3.3862,0.0557,-0.0557,994.5,20.5,-20.5,3.12,0.44,-0.43,100.34,37.85,-30.34,51.00,3,5344.00,80.00,-80.00,4.365,0.132,-0.096,0.1600,0.1500,-0.1000,1.0130,0.1410,-0.1410,0.8670,0.0640,-0.0320
"CONFIRMED",1.04562195,2.717e-06,-2.717e-06,0.037,0.425,-0.037,1.8955,0.0725,-0.0725,213,9.7,-9.7,1.45,0.2,-0.2,2031.84,766.47,-614.41,25.30,3,5344.00,80.00,-80.00,4.365,0.132,-0.096,0.1600,0.1500,-0.1000,1.0130,0.1410,-0.1410,0.8670,0.0640,-0.0320
"CONFIRMED",5.71462396,3.25e-05,-3.25e-05,0.503,0.448,-0.294,2.336,0.124,-0.124,297.8,19.8,-19.8,1.78,0.24,-0.25,210.16,79.27,-63.55,16.70,3,5344.00,80.00,-80.00,4.365,0.132,-0.096,0.1600,0.1500,-0.1000,1.0130,0.1410,-0.1410,0.8670,0.0640,-0.0320
"FALSE POSITIVE",102.9641952,0.0005766,-0.0005766,0.922,0.005,-0.007,15.735,0.263,-0.263,1896.7,27.3,-27.3,39,1.1,-9.39,95.40,8.70,-47.04,86.10,1,5047.00,40.00,-160.00,3.066,0.033,-0.027,0.0700,0.1000,-0.2500,7.1190,0.2010,-1.7130,2.1500,0.0500,-0.8580
"CONFIRMED",8.14515981,4.38e-05,-4.38e-05,0.965,0.018,-0.521,5.073,0.513,-0.513,446.8,17.4,-17.4,3.43,0.5,-0.7,287.91,122.25,-117.46,32.20,4,5896.00,117.00,-105.00,4.197,0.195,-0.105,-0.3600,0.1500,-0.1500,1.2400,0.1830,-0.2510,0.8840,0.0730,-0.0540
"CONFIRMED",18.9985279,0.0001799,-0.0001799,1.3,73.17,-6.938,4.529,0.333,-0.333,430.7,29,-29,43.17,6.37,-8.74,93.03,39.50,-37.96,16.90,4,5896.00,117.00,-105.00,4.197,0.195,-0.105,-0.3600,0.1500,-0.1500,1.2400,0.1830,-0.2510,0.8840,0.0730,-0.0540
"CONFIRMED",4.24439049,2.717e-05,-2.717e-05,0.949,0,-0.711,3.282,0.135,-0.135,174,12.7,-12.7,2.07,0.3,-0.42,686.99,291.72,-280.28,15.10,4,5896.00,117.00,-105.00,4.197,0.195,-0.105,-0.3600,0.1500,-0.1500,1.2400,0.1830,-0.2510,0.8840,0.0730,-0.0540
"CANDIDATE",90.1240507,0.0004433,-0.0004433,0.698,0.079,-0.415,11.649,0.28,-0.28,3020.3,57.5,-57.5,7.12,2.41,-0.8,13.09,13.03,-4.26,57.90,1,6520.00,180.00,-248.00,4.375,0.056,-0.224,0.0700,0.2500,-0.3000,1.2150,0.4100,-0.1370,1.2790,0.1650,-0.2020
"CONFIRMED",28.5742692,4.06e-05,-4.06e-05,0.068,0.328,-0.068,4.9427,0.0403,-0.0403,824.9,9.2,-9.2,2.32,0.19,-0.2,19.83,5.49,-4.56,97.10,2,5551.00,111.00,-111.00,4.508,0.077,-0.063,-0.4200,0.1500,-0.1500,0.8120,0.0700,-0.0700,0.7760,0.0580,-0.0390
"CANDIDATE",856.672115,0.009591,-0.009591,0.1158,0.2441,-0.1157,23.144,0.287,-0.287,858.1,27.7,-27.7,3.87,1.94,-0.75,0.81,1.22,-0.35,39.20,1,6449.00,163.00,-210.00,4.232,0.163,-0.270,-0.3200,0.2400,-0.3000,1.3090,0.6560,-0.2540,1.0630,0.2530,-0.1190
"CANDIDATE",0.689210173,4.5e-07,-4.5e-07,0.154,0.271,-0.154,1.6169,0.0179,-0.0179,195,2.4,-2.4,1.32,0.19,-0.06,3362.71,1364.69,-528.86,93.40,1,5630.00,100.00,-122.00,4.505,0.023,-0.128,0.3600,0.1000,-0.1500,0.9540,0.1380,-0.0390,1.0640,0.0420,-0.0730
"CONFIRMED",7.34373964,1.134e-05,-1.134e-05,0.185,0.269,-0.185,1.1784,0.0466,-0.0466,574.4,21.8,-21.8,1.84,0.4,-0.14,117.50,77.15,-27.07,32.20,1,5757.00,155.00,-155.00,4.597,0.036,-0.144,-0.5000,0.3500,-0.2500,0.7620,0.1680,-0.0560,0.8650,0.0870,-0.0960
"FALSE POSITIVE",0.445277068,1.434e-06,-1.434e-06,1.2962,0.1082,-0.259,3.539,0.276,-0.276,186.7,7.8,-7.8,35.74,14.08,-3.49,10177.11,11671.33,-2940.16,28.90,1,6167.00,156.00,-205.00,4.444,0.045,-0.264,0.0700,0.1500,-0.3500,1.0640,0.4190,-0.1040,1.1490,0.2060,-0.1650
"FALSE POSITIVE",0.379463865,2.8e-08,-2.8e-08,1.246,0.632,-0.064,0.86896,0.00507,-0.00507,1973.3,5.8,-5.8,59.56,34.57,-38.05,19256.81,34212.39,-17030.52,458.60,2,5075.00,136.00,-151.00,3.892,0.707,-0.303,-0.0600,0.3000,-0.3000,1.7830,1.0350,-1.1390,0.9050,0.1660,-0.1490
"FALSE POSITIVE",9.88047978,1.553e-06,-1.553e-06,1.02,0.237,-0.041,2.78458,0.00644,-0.00644,18541,36.6,-36.6,23.6,7.06,-2.34,129.45,113.32,-37.50,534.50,1,6113.00,164.00,-200.00,4.512,0.052,-0.208,-0.3000,0.3000,-0.3000,0.9170,0.2740,-0.0910,0.9970,0.1300,-0.1300
"FALSE POSITIVE",4.6484156,7.845e-05,-7.845e-05,0.968,0.017,-0.031,38.1939,0,0,128.4,2.4,-2.4,5.06,0.52,-2.1,6152.88,2089.66,-4314.89,91.70,1,6980.00,167.00,-230.00,3.577,0.352,-0.088,-0.4200,0.3500,-0.2500,3.4820,0.3620,-1.4470,1.6710,0.2030,-0.3770
"FALSE POSITIVE",17.512014768,3.216e-06,-3.216e-06,0.994,0.243,-0.007,1.8248,0.00727,-0.00727,4511.7,13.9,-13.9,13.66,4.26,-2.3,98.77,93.77,-40.37,322.30,1,6224.00,197.00,-241.00,4.330,0.144,-0.192,-0.2600,0.2500,-0.3000,1.1320,0.3530,-0.1900,0.9980,0.1730,-0.1150
"CANDIDATE",3.9886021,8.034e-06,-8.034e-06,0.06,0.364,-0.06,1.7376,0.0588,-0.0588,673.5,21.8,-21.8,34.39,4.71,-10.99,23135.72,8030.46,-13457.76,37.10,1,4813.00,50.00,-121.00,2.472,0.156,-0.117,-0.2200,0.1000,-0.1500,13.6520,1.8690,-4.3610,2.0160,0.7690,-0.8460
"CANDIDATE",0.533059312,,,1.263,,,1.8621,,,1495.8,,,133.56,25.98,-77.91,277887.70,170694.09,-236607.72,179.60,1,8523.00,267.00,-326.00,3.559,0.639,-0.071,-0.5000,0.1500,-0.3000,4.0510,0.7880,-2.3630,2.1660,0.3770,-0.7000
"FALSE POSITIVE",0.525154153,3.08e-07,-3.08e-07,1.226,0.483,-0.167,2.1441,0.0297,-0.0297,747.5,8.1,-8.1,23.61,5.28,-2.85,4391.51,3014.22,-1350.21,116.10,1,5582.00,169.00,-152.00,4.497,0.081,-0.150,-0.3000,0.3000,-0.3000,0.8460,0.1890,-0.1020,0.8190,0.1060,-0.0710
"FALSE POSITIVE",1.303861044,1.192e-06,-1.192e-06,1.258,0.334,-0.178,4.0541,0.0379,-0.0379,598.2,5.1,-5.1,27.85,7.53,-3.25,1595.19,1268.41,-478.56,140.60,1,5758.00,155.00,-155.00,4.475,0.078,-0.182,-0.2400,0.3000,-0.3000,0.9020,0.2440,-0.1050,0.8870,0.1100,-0.0900
"FALSE POSITIVE",0.73452496,,,,,,6.7,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"FALSE POSITIVE",2.55549176,3.052e-05,-3.052e-05,1.228,0.611,-0.107,9.083,0.507,-0.507,113.8,5.6,-5.6,23.35,7.02,-2.34,701.68,619.43,-198.24,24.30,1,5948.00,161.00,-178.00,4.508,0.050,-0.200,-0.2600,0.3000,-0.3000,0.9010,0.2710,-0.0900,0.9540,0.1180,-0.1070
"FALSE POSITIVE",2.947376671,3.228e-06,-3.228e-06,2.641,10.99,-0.707,2.0911,0.0437,-0.0437,433.2,8.5,-8.5,403.59,85.99,-105,7903.84,5082.12,-4259.41,62.30,1,8090.00,226.00,-340.00,4.002,0.198,-0.132,-0.1400,0.2500,-0.3000,2.2340,0.4760,-0.5810,1.8280,0.1440,-0.3120
"CONFIRMED",224.7789355,0.0002569,-0.0002569,0.652,0.032,-0.057,11.1899,0.0916,-0.0916,3487.5,15.8,-15.8,7.67,1.33,-1.2,2.92,1.36,-1.02,235.70,2,5873.00,93.00,-129.00,4.293,0.120,-0.120,0.1800,0.1500,-0.1500,1.2350,0.2130,-0.1940,1.0920,0.0800,-0.0890
"FALSE POSITIVE",0.890110752,2.212e-06,-2.212e-06,0.216,0.251,-0.216,0.8774,0.0942,-0.0942,321.5,23.8,-23.8,1.25,0.12,-0.07,838.42,282.72,-175.25,19.60,1,4768.00,143.00,-129.00,4.628,0.020,-0.060,0.2100,0.2000,-0.3500,0.7110,0.0640,-0.0430,0.8150,0.0300,-0.0770
"FALSE POSITIVE",5.76573396,2.584e-05,-2.584e-05,0.708,0.225,-0.497,2.924,0.122,-0.122,248,13.2,-13.2,7.47,0.89,-2.5,3518.78,1136.62,-2053.98,22.20,1,5772.00,78.00,-86.00,3.364,0.256,-0.080,-0.4800,0.1500,-0.2000,4.4340,0.5310,-1.4860,1.6570,0.1310,-0.3940
"CONFIRMED",7.42608123,1.88e-05,-1.88e-05,0.097,0.343,-0.097,3.6379,0.0672,-0.0672,443.3,12.6,-12.6,2.47,0.39,-0.23,273.78,110.12,-60.87,37.50,3,6049.00,72.00,-91.00,4.353,0.076,-0.114,0.1600,0.1500,-0.1500,1.1760,0.1840,-0.1070,1.1400,0.0680,-0.0810
"CONFIRMED",15.9868932,0.0002828,-0.0002828,0.533,0.018,-0.472,4.158,0.538,-0.538,178.5,18.3,-18.3,1.62,0.25,-0.15,98.51,39.62,-21.90,10.90,3,6049.00,72.00,-91.00,4.353,0.076,-0.114,0.1600,0.1500,-0.1500,1.1760,0.1840,-0.1070,1.1400,0.0680,-0.0810
